全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,POIコード,所在地_連結表記,建物名等(方書),緯度,経度,管理番号,公簿面積,備考
092088,0114000116,栃木県小山市,窪公園,クボコウエン,1003,栃木県小山市横倉新田112-3,,139.822298,36.283179,,,
092088,0114000117,栃木県小山市,砂久保３号公園,スナクボサンゴウコウエン,1003,栃木県小山市横倉新田12-113,,139.821225,36.272614,,,
092088,0114000118,栃木県小山市,砂久保公園,スナクボコウエン,1003,栃木県小山市横倉新田12-50,,139.820541,36.272274,,,
092088,0114000119,栃木県小山市,下谷２号公園,シタヤニゴウコウエン,1003,栃木県小山市横倉新田134-18,,139.819963,36.280776,,,
092088,0114000120,栃木県小山市,下谷公園,シタヤコウエン,1003,栃木県小山市横倉新田155-25,,139.818105,36.280808,,,
092088,0114000121,栃木県小山市,下谷３号公園,シタヤサンゴウコウエン,1003,栃木県小山市横倉新田170-13,,139.8196,36.281689,,,
092088,0114000122,栃木県小山市,街道南公園,カイドウミナミコウエン,1003,栃木県小山市横倉新田177-42,,139.822191,36.283751,,,
092088,0114000123,栃木県小山市,街道南３号公園,カイドウミナミサンゴウコウエン,1003,栃木県小山市横倉新田188-34,,139.82254,36.287143,,,
092088,0114000124,栃木県小山市,街道南２号公園,カイドウミナミニゴウコウエン,1003,栃木県小山市横倉新田192-13,,139.822667,36.286269,,,
092088,0114000125,栃木県小山市,街道北１号公園,カイドウキタイチゴウコウエン,1003,栃木県小山市横倉新田226-32,,139.822515,36.289382,,,
092088,0114000126,栃木県小山市,砂久保２号公園,スナクボニゴウコウエン,1003,栃木県小山市横倉新田23-26,,139.820603,36.273735,,,
092088,0114000127,栃木県小山市,守武２号公園,モリタケニゴウコウエン,1003,栃木県小山市横倉新田253-28,,139.824916,36.275182,,,
092088,0114000128,栃木県小山市,守武４号公園,モリタケヨンゴウコウエン,1003,栃木県小山市横倉新田259-28,,139.825234,36.276051,,,
092088,0114000129,栃木県小山市,守武７号公園,モリタケナナゴウコウエン,1003,栃木県小山市横倉新田259-45,,139.825427,36.27638,,,
092088,0114000130,栃木県小山市,青木２号公園,アオキニゴウコウエン,1003,栃木県小山市横倉新田266-106,,139.82348,36.27686,,,
092088,0114000131,栃木県小山市,青木公園,アオキコウエン,1003,栃木県小山市横倉新田268-11,,139.821846,36.277116,,,
092088,0114000132,栃木県小山市,萩原２号公園,ハギワラニゴウコウエン,1003,栃木県小山市横倉新田283-32,,139.823674,36.279324,,,
092088,0114000133,栃木県小山市,萩原公園,ハギワラコウエン,1003,栃木県小山市横倉新田285-66,,139.824036,36.279793,,,
092088,0114000134,栃木県小山市,欠塚公園,カケヅカコウエン,1003,栃木県小山市横倉新田311-14,,139.82748,36.280963,,,
092088,0114000135,栃木県小山市,あけぼの公園,アケボノコウエン,1003,栃木県小山市横倉新田465,,139.830673,36.292478,,,
092088,0114000136,栃木県小山市,守武１号公園,モリタケイチゴウコウエン,1003,栃木県小山市横倉新田5-35,,139.825798,36.275177,,,
092088,0114000137,栃木県小山市,守武６号公園,モリタケロクゴウコウエン,1003,栃木県小山市横倉新田5-98,,139.827013,36.274461,,,
092088,0114000138,栃木県小山市,守武５号公園,モリタケゴゴウコウエン,1003,栃木県小山市横倉新田7-175,,139.824194,36.273972,,,
